key	de	en
clockwork.title	Uhr	Clockwork
clockwork.settings.timezone	Zeitzone	Timezone
clockwork.settings.use_24h	24-Stunden-Format verwenden	Use 24-hour clock
clockwork.settings.show_seconds	Sekunden anzeigen	Show seconds
clockwork.settings.blink_colon	Doppelpunkt blinkt	Blink colon
clockwork.settings.show_date	Datum anzeigen	Show date line
clockwork.settings.date_format	Datumsformat	Date format
clockwork.settings.update_ms	Aktualisierungsintervall (ms)	Update interval (ms)
clockwork.settings.preview	Vorschau	Preview
clockwork.error.invalid_tz_title	Ungültige Zeitzone	Invalid timezone
clockwork.error.invalid_tz_msg	Bitte eine gültige Zeitzone eingeben.	Please enter a valid timezone.
clockwork.info.saved	Einstellungen gespeichert	Settings saved
clockwork.info.saved_msg	Deine Clockwork-Einstellungen wurden gespeichert.	Your Clockwork settings have been saved.
