label	de	en
common.cancel	Abbrechen	Cancel
common.close	Schließen	Close
common.ok	OK	OK
common.open	Öffnen	Open
common.reload	Neu laden	Reload
common.search	Suchen	Search
core_signature.api_missing	Signatur-API fehlt.	Signature API missing.
core_signature.sign.choose_pdf_first	Bitte zuerst eine PDF auswählen.	Please select a PDF first.
documents.archive.err	Archivieren fehlgeschlagen	Archive failed
documents.ask.pwd	Bitte Passwort eingeben:	Please enter password:
documents.ask.pwd.title	Passwort erforderlich	Password required
documents.ask.reason	Bitte eine kurze Begründung eingeben:	Please enter a short reason:
documents.ask.reason.title	Begründung	Reason
documents.assign.err	Fehler bei Zuweisung	Assignment failed
documents.back.err	Zurücksetzen fehlgeschlagen	Revert failed
documents.btn.archive	Archivieren	Archive
documents.btn.assign	Rollen zuweisen	Assign roles
documents.btn.back	Zurück	Back
documents.btn.copy	Kopie erstellen	Make copy
documents.btn.edit_meta	Metadaten	Edit meta
documents.btn.new_from_tpl	Neu aus Vorlage	New from template
documents.btn.import	Importieren	Import
documents.btn.next	Nächster Schritt	Next step
documents.btn.open	Öffnen	Open
documents.btn.publish	Veröffentlichen	Publish
documents.btn.read	Als gelesen markieren	Mark as read
documents.btn.to_review	Zur Prüfung einreichen	Submit for review
documents.btn.workflow	Workflow	Workflow
documents.btn.workflow.cont	Workflow fortsetzen	Continue workflow
documents.btn.workflow.none	Kein aktiver Workflow	No active workflow
documents.btn.workflow.start	Workflow starten	Start workflow
documents.changenote.prompt	Bitte beschreiben Sie den Grund/die Änderung:	Please describe the reason/change:
documents.col.active	Aktiv	Active
documents.col.owner	Eigentümer	Owner
documents.col.status	Status	Status
documents.col.title	Titel	Title
documents.col.type	Typ	Type
documents.col.updated	Geändert	Updated
documents.col.version	Version	Version
documents.comments.author	Autor	Author
documents.comments.date	Datum	Date
documents.comments.detail	Kommentar	Comment
documents.comments.text	Text (Vorschau)	Text (preview)
documents.comments.title	Kommentare	Comments
documents.copy.choose_dest	Zielordner wählen	Choose destination
documents.copy.done	Kopie erstellt in: 	Copy created at:
documents.copy.ok	Kopie erstellt	Copy created
documents.filter.active	Nur aktive Workflows	Active workflows only
documents.filter.search	Suche	Search
documents.filter.sort	Sortierung	Sort
documents.filter.status	Status	Status
documents.import.msg	Dokument angelegt: 	Document created:
documents.import.ok	Importiert	Imported
documents.import.title	Dokument importieren	Import document
documents.init_error	Problem bei der Modulinitialisierung: 	Module initialization problem:
documents.list	Dokumente	Documents
documents.meta.actual_filetype	Dateityp (aktuell)	Actual file type
documents.meta.description	Beschreibung	Description
documents.meta.last_modified	Zuletzt geändert	Last modified
documents.meta.type	Dokumententyp	Document type
documents.meta.valid_by_date	Gültig bis	Valid until
documents.next.err	Nächster Schritt fehlgeschlagen	Next step failed
documents.open.error	Öffnen fehlgeschlagen	Open failed
documents.open.nofile	Datei nicht gefunden.	File not found.
documents.ov.actors	Aktuelle Bearbeiter	Current Actors
documents.ov.id	Dokumenten-ID	Document ID
documents.ov.owner	Eigentümer	Owner
documents.ov.path	Aktuelle Datei	Current File
documents.ov.status	Status	Status
documents.ov.title	Titel	Title
documents.ov.type	Typ	Type
documents.ov.updated	Geändert	Updated
documents.ov.version	Version	Version
documents.read.no_user	Nicht angemeldet	Not logged in
documents.read.no_user.msg	Kein aktueller Benutzer.	No current user.
documents.reason.abort	Grund – Abbrechen	Reason – Abort
documents.reason.archive	Grund – Archivieren	Reason – Archive
documents.reason.back	Grund – Zurücksetzen	Reason – Revert
documents.role.editor	Bearbeiter	Editor
documents.role.editor_dt	Bearb.-Datum	Editor date
documents.role.publisher	Freigeber	Approver
documents.role.publisher_dt	Freig.-Datum	Approval date
documents.role.reviewer	Prüfer	Reviewer
documents.role.reviewer_dt	Prüf.-Datum	Reviewer date
documents.status.all	Alle	All
documents.status.approval	Freigabe	Approval
documents.status.draft	Entwurf	Draft
documents.status.obsolete	Obsolet	Obsolete
documents.status.published	Veröffentlicht	Published
documents.status.review	Prüfung	Review
documents.tab.comments	Kommentare	Comments
documents.tab.overview	Übersicht	Overview
documents.title	Dokumentenlenkung	Document Control
documents.tpl.choose	Vorlage wählen	Choose template
documents.tpl.created	Dokument erstellt	Document created
documents.tpl.created.msg	Erstellt aus Vorlage: 	Created from template:
documents.tpl.missing.msg	Ordner nicht gefunden: 	Folder not found:
documents.tpl.missing.title	Keine Vorlagen	No templates
documents.workflow.err	Workflow-Aktion fehlgeschlagen	Workflow action failed
signature.default_reason	Genehmigt	Approved
